log2FoldChange	ENTREZID	SYMBOL
0.990549731667393	26020	LRP10
4.02337495329685	55332	DRAM1
0.957042119050168	9445	ITM2B
-1.94784633152906	23768	FLRT2
-1.30002938046957	23262	PPIP5K2
3.86998362695354	64333	ARHGAP9
1.27069307040033	1806	DPYD
1.21847907469914	56943	ENY2
2.39606457965015	3717	JAK2
6.03961983932684	8638	OASL
1.42755773921367	5684	PSMA3
-2.94901430181313	221002	RASGEF1A
1.12905062519869	64853	AIDA
1.42238574996986	120	ADD3
4.71950404984946	947	CD34
-1.55056651994126	11278	KLF12
4.22284478469137	197259	MLKL
-1.42461491830607	3652	IPP
7.29606991538365	9308	CD83
1.92024636328297	7391	USF1
1.71532445232025	22858	ICK
4.59793097587137	10068	IL18BP
-1.60625244734176	2770	GNAI1
1.52051543309828	10628	TXNIP
2.28358652459345	770	CA11
1.74588670494432	65977	PLEKHA3
2.76921029523596	83593	RASSF5
2.06882547254305	25819	NOCT
1.35857376256479	2907	GRINA
3.08473858402605	57674	RNF213
-0.761823900356047	5885	RAD21
3.90595417977671	3135	HLA-G
1.9617154576465	3269	HRH1
2.59450079893314	80176	SPSB1
-1.57276182975434	9990	SLC12A6
3.71965545015375	9435	CHST2
2.39094543529044	51752	ERAP1
4.68832903678539	220	ALDH1A3
-2.0641690525294	23287	AGTPBP1
2.45786248425242	23180	RFTN1
2.91389218166346	8482	SEMA7A
2.22534767378096	10957	PNRC1
-0.65231929673246	10927	SPIN1
1.65449424119244	5993	RFX5
1.73278578864702	8737	RIPK1
3.63756236093284	9865	TRIL
-1.55046280107644	3224	HOXC8
1.78008223333052	85458	DIXDC1
-0.944669314975858	23344	ESYT1
-2.9391683596719	114801	TMEM200A
1.79254509978381	161424	NOP9
2.18312405719635	22822	PHLDA1
-1.05853932483718	55727	BTBD7
-1.98321376432492	92154	MTSS1L
1.1027996313732	1410	CRYAB
1.69125271420102	132320	SCLT1
0.949975551986655	7430	EZR
-1.11953983743253	26503	SLC17A5
1.7577827119138	118429	ANTXR2
1.37929801407065	4862	NPAS2
-1.39348844921647	152503	SH3D19
0.879156220984551	11100	HNRNPUL1
2.17776736262466	30844	EHD4
1.36936008984905	27351	DESI1
1.4228627997927	51465	UBE2J1
2.84746211130438	63901	FAM111A
-1.62347246541649	4038	LRP4
1.49178249117639	23064	SETX
-1.33496239194256	80854	SETD7
-2.24057916470088	80853	KDM7A
1.33484377617347	23306	NEMP1
